,city,state,country,latitude,longitude,population,msa,new_label
0,kortenhoef,north holland,netherlands,52.23917,5.10694,6250.0,,amsterdam MSA
1,diepenveen,overijssel,netherlands,52.2894,6.15,10838.0,,apeldoorn MSA
2,eygelshoven,limburg,netherlands,50.8925,6.0592,5954.0,,maastricht-heerlen MSA
3,emmer compascuum,drenthe,netherlands,52.81167,7.04722,8130.0,,emmen MSA
4,hoogkerk,groningen,netherlands,53.2167,6.5,5307.0,,groningen MSA
5,millingen aan de rijn,gelderland,netherlands,51.8667,6.05,5921.0,,nijmegen MSA
6,bathmen,overijssel,netherlands,52.25,6.2869,5224.0,,apeldoorn MSA
7,hazerswoude dorp,zuid holland,netherlands,52.1,4.5833,11366.0,,leiden-gouda MSA
8,arcen,limburg,netherlands,51.47667,6.18056,8793.0,,venlo MSA
9,haelen,limburg,netherlands,51.23583,5.95694,9935.0,,weert-roermond MSA
10,wilnis,utrecht,netherlands,52.19667,4.89722,5715.0,,leiden-gouda MSA
11,haren,groningen,netherlands,53.17209,6.60931,9375.0,,groningen MSA
12,borssele,zeeland,netherlands,51.42333,3.73472,22285.0,,middelburg MSA
13,teteringen,north brabant,netherlands,51.60917,4.82083,7230.0,,breda MSA
14,bovenkarspel,noord holland,netherlands,52.7,5.25,5439.0,,medemblik MSA
15,bennebroek,north holland,netherlands,52.32083,4.59861,5140.0,,haarlem MSA
16,damwald,friesland,netherlands,53.29046,5.99785,5560.0,,dokkum MSA
17,kudelstaart,north holland,netherlands,52.23417,4.75139,9250.0,,haarlem MSA
18,benthuizen,south holland,netherlands,52.0775,4.54444,18959.0,,leiden-gouda MSA
19,rhoon,south holland,netherlands,51.8575,4.42222,18250.0,,the hague MSA
20,aalsmeer,north holland,netherlands,52.25917,4.75972,22991.0,,haarlem MSA
21,helmond,north brabant,netherlands,51.48167,5.66111,74740.0,,helmond MSA
22,made,north brabant,netherlands,51.67667,4.79306,11795.0,,breda MSA
23,breukelen,utrecht,netherlands,52.17417,5.00139,14498.0,,leiden-gouda MSA
24,urk,flevoland,netherlands,52.6625,5.60139,17345.0,,lelystad MSA
25,velp,gelderland,netherlands,51.995,5.97361,17669.0,,nijmegen MSA
26,veldhoven,north brabant,netherlands,51.41833,5.40278,5340.0,,eindhoven MSA
27,stein,limburg,netherlands,50.96917,5.76667,11290.0,,maastricht-heerlen MSA
28,brunssum,limburg,netherlands,50.94667,5.97083,29254.0,,maastricht-heerlen MSA
